WP, 04, 2021052918,   , BEST,   0, 064N, 1345E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  30,   0,   0,   W,   0,   X, 275,   9,       FOUR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021053000,   , BEST,   0, 066N, 1338E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  125,  30,   0,   0,   W,   0,   X, 280,   7,       FOUR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021053006,   , BEST,   0, 067N, 1327E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  120,  30,   0,   0,   W,   0,   X, 280,   8,       FOUR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021053012,   , BEST,   0, 069N, 1319E,  35, 1000, XX,  34, NEQ,   40,   50,   65,   45, 1004,  120,  30,   0,   0,   W,   0,   X, 280,   9,       FOUR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021053018,   , BEST,   0, 075N, 1314E,  45,  989, XX,  34, NEQ,   40,   55,   65,   55, 1005,  205,  30,   0,   0,   W,   0,   X, 290,   8,       FOUR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021053100,   , BEST,   0, 079N, 1307E,  50,  986, XX,  34, NEQ,   45,   75,   65,   75, 1007,  210,  15,   0,   0,   W,   0,   X, 300,   8,       FOUR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021053106,   , BEST,   0, 090N, 1297E,  50,  993, XX,  34, NEQ,   50,   75,  100,   85, 1005,  210,  15,   0,   0,   W,   0,   X, 315,  10,       FOUR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021053112,   , BEST,   0, 094N, 1291E,  50,  994, XX,  34, NEQ,   60,   75,  110,   45, 1006,  200,  15,   0,   0,   W,   0,   X, 315,  10,   CHOI-WAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021053118,   , BEST,   0, 099N, 1284E,  45,  996, XX,  34, NEQ,   60,   65,   80,   70, 1005,  150,  20,   0,   0,   W,   0,   X, 305,   9,   CHOI-WAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021060100,   , BEST,   0, 101N, 1273E,  40,  999, XX,  34, NEQ,   55,   50,   40,   50, 1005,  150,  20,   0,   0,   W,   0,   X, 295,   9,   CHOI-WAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
WP, 04, 2021060106,   , BEST,   0, 111N, 1267E,  35, 1001, XX,  34, NEQ,   55,   50,   50,   55, 1005,  145,  20,   0,   0,   W,   0,   X, 305,  10,   CHOI-WAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042021, JTWC, NCEP_TCVITALS, 
