WP, 07, 2017072018,   , BEST,   0, 277N, 1581E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1011,  160,  50,   0,   0,   W,   0,   X, 295,   6,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072100,   , BEST,   0, 282N, 1574E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   W,   0,   X, 295,   7,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072106,   , BEST,   0, 282N, 1557E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   W,   0,   X, 285,  10,       NORU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072112,   , BEST,   0, 279N, 1551E,  35, 1000, XX,  34, NEQ,  125,  165,   60,  100, 1010,  150,  40,   0,   0,   W,   0,   X, 275,   9,       NORU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072118,   , BEST,   0, 285N, 1538E,  35,  999, XX,  34, NEQ,  125,  165,   60,  100, 1010,  170,  60,   0,   0,   W,   0,   X, 280,   9,       NORU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072200,   , BEST,   0, 287N, 1537E,  40,  996, XX,  34, NEQ,  125,  165,   80,  100, 1010,  170,  60,   0,   0,   W,   0,   X, 290,   7,       NORU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072206,   , BEST,   0, 282N, 1531E,  45,  993, XX,  34, NEQ,  125,  165,   80,  100, 1010,  185,  60,   0,   0,   W,   0,   X, 270,   5,       NORU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072212,   , BEST,   0, 281N, 1524E,  45,  995, XX,  34, NEQ,  125,  105,   60,   85, 1010,  185,  35,   0,   0,   W,   0,   X, 265,   6,       NORU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072218,   , BEST,   0, 283N, 1522E,  50,  991, XX,  34, NEQ,  125,  105,   60,   85, 1007,  190,  35,   0,   0,   W,   0,   X, 275,   4,       NORU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072306,   , BEST,   0, 279N, 1512E,  55,  985, XX,  34, NEQ,  115,   85,   60,   85, 1007,  190,  30,   0,   0,   W,   0,   X, 260,   4,       NORU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
WP, 07, 2017072312,   , BEST,   0, 280N, 1514E,  85,  964, XX,  34, NEQ,   90,   90,   75,   90, 1007,  200,  10,   0,   0,   W,   0,   X, 245,   3,       NORU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072017, JTWC, NCEP_TCVITALS, 
