WP, 11, 2018071512,   , BEST,   0, 191N, 1281E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1004,  150,  40,   0,   0,   W,   0,   X, 250,  14,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071518,   , BEST,   0, 186N, 1269E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  150,  40,   0,   0,   W,   0,   X, 245,  14,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071600,   , BEST,   0, 190N, 1253E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  150,  40,   0,   0,   W,   0,   X, 260,  13,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071606,   , BEST,   0, 188N, 1240E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  160,  40,   0,   0,   W,   0,   X, 265,  13,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071612,   , BEST,   0, 187N, 1222E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  160,  40,   0,   0,   W,   0,   X, 265,  15,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071618,   , BEST,   0, 191N, 1211E,  30,  995, XX,  34, NEQ,    0,    0,    0,    0, 1001,  145,  45,   0,   0,   W,   0,   X, 270,  13,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071700,   , BEST,   0, 193N, 1181E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1001,  120,  50,   0,   0,   W,   0,   X, 275,  19,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071706,   , BEST,   0, 195N, 1152E,  35,  997, XX,  34, NEQ,   90,    0,   40,   80, 1000,  140,  50,   0,   0,   W,   0,   X, 280,  22,   SON-TINH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071712,   , BEST,   0, 191N, 1134E,  40,  993, XX,  34, NEQ,   90,    0,   50,   90,  998,  140,  50,   0,   0,   W,   0,   X, 270,  22,   SON-TINH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071718,   , BEST,   0, 188N, 1112E,  40,  996, XX,  34, NEQ,   60,   60,    0,   90, 1001,  250,  40,   0,   0,   W,   0,   X, 265,  22,   SON-TINH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
WP, 11, 2018071800,   , BEST,   0, 189N, 1093E,  35,  997, XX,  34, NEQ,   70,   60,   40,   60, 1001,  240,  35,   0,   0,   W,   0,   X, 265,  20,   SON-TINH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112018, JTWC, NCEP_TCVITALS, 
