WP, 15, 2018072200,   , BEST,   0, 129N, 1383E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  165,  50,   0,   0,   W,   0,   X, 295,  10,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072206,   , BEST,   0, 142N, 1379E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  165,  50,   0,   0,   W,   0,   X, 320,  12,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072212,   , BEST,   0, 149N, 1371E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  165,  50,   0,   0,   W,   0,   X, 325,  12,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072218,   , BEST,   0, 147N, 1368E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  50,   0,   0,   W,   0,   X, 320,   8,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072300,   , BEST,   0, 153N, 1363E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  50,   0,   0,   W,   0,   X, 320,   8,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072306,   , BEST,   0, 158N, 1372E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  190,  50,   0,   0,   W,   0,   X, 350,   6,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072312,   , BEST,   0, 164N, 1371E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  190,  50,   0,   0,   W,   0,   X, 345,   6,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072318,   , BEST,   0, 173N, 1365E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  190,  50,   0,   0,   W,   0,   X, 335,   8,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072400,   , BEST,   0, 183N, 1362E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  180,  50,   0,   0,   W,   0,   X, 340,   9,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072406,   , BEST,   0, 191N, 1368E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  180,  50,   0,   0,   W,   0,   X,    ,   9,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072412,   , BEST,   0, 194N, 1373E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  180,  50,   0,   0,   W,   0,   X,  15,   7,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072418,   , BEST,   0, 206N, 1367E,  35,  999, XX,  34, NEQ,  135,   95,   80,   95, 1004,  190,  50,   0,   0,   W,   0,   X, 355,   8,    FIFTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072500,   , BEST,   0, 213N, 1366E,  40,  996, XX,  34, NEQ,  105,   75,   55,   80, 1004,  180,  50,   0,   0,   W,   0,   X, 355,   8,   JONGDARI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072506,   , BEST,   0, 215N, 1372E,  40,  996, XX,  34, NEQ,   75,   75,   40,   40, 1003,  180,  35,   0,   0,   W,   0,   X,  10,   6,   JONGDARI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072512,   , BEST,   0, 220N, 1375E,  45,  993, XX,  34, NEQ,   70,   75,   70,   65, 1003,  180,  30,   0,   0,   W,   0,   X,  25,   6,   JONGDARI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072518,   , BEST,   0, 222N, 1376E,  50,  989, XX,  34, NEQ,   75,   85,   75,   55, 1003,  210,  30,   0,   0,   W,   0,   X,  35,   5,   JONGDARI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072600,   , BEST,   0, 223N, 1383E,  55,  986, XX,  34, NEQ,   80,   90,   80,   55, 1003,  210,  30,   0,   0,   W,   0,   X,  50,   5,   JONGDARI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072606,   , BEST,   0, 229N, 1393E,  55,  984, XX,  34, NEQ,  100,  115,  100,   80, 1002,  205,  30,   0,   0,   W,   0,   X,  60,   7,   JONGDARI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
WP, 15, 2018072612,   , BEST,   0, 237N, 1401E,  60,  979, XX,  34, NEQ,  105,  115,  100,   85, 1000,  195,  30,   0,   0,   W,   0,   X,  50,   9,   JONGDARI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152018, JTWC, NCEP_TCVITALS, 
