WP, 17, 2018080218,   , BEST,   0, 186N, 1507E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  210,  50,   0,   0,   W,   0,   X, 275,   7,  SEVENTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080300,   , BEST,   0, 177N, 1504E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1004,  210,  50,   0,   0,   W,   0,   X, 250,   5,  SEVENTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080306,   , BEST,   0, 180N, 1505E,  35,  995, XX,  34, NEQ,   60,  120,  135,    0, 1003,  225,  50,   0,   0,   W,   0,   X, 255,   3,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080312,   , BEST,   0, 185N, 1500E,  45,  992, XX,  34, NEQ,   95,  115,   65,   75, 1003,  200,  40,   0,   0,   W,   0,   X, 300,   3,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080318,   , BEST,   0, 193N, 1494E,  50,  989, XX,  34, NEQ,  100,  110,   70,   85, 1002,  180,  40,   0,   0,   W,   0,   X, 320,   6,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080400,   , BEST,   0, 201N, 1492E,  55,  985, XX,  34, NEQ,   80,  180,  160,   75, 1002,  180,  40,   0,   0,   W,   0,   X, 330,   8,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080406,   , BEST,   0, 208N, 1488E,  65,  977, XX,  34, NEQ,  145,  165,  165,   80, 1001,  170,  30,   0,   0,   W,   0,   X, 335,   9,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080412,   , BEST,   0, 218N, 1482E,  70,  974, XX,  34, NEQ,  145,  180,  135,   85, 1002,  160,  30,   0,   0,   W,   0,   X, 335,   9,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080418,   , BEST,   0, 225N, 1477E,  75,  969, XX,  34, NEQ,  140,  170,  140,   90, 1001,  170,  30,   0,   0,   W,   0,   X, 330,   9,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080500,   , BEST,   0, 230N, 1474E,  75,  969, XX,  34, NEQ,  145,  170,  145,  100, 1002,  180,  30,   0,   0,   W,   0,   X, 330,   8,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080506,   , BEST,   0, 240N, 1475E,  75,  968, XX,  34, NEQ,  145,  175,  100,  115, 1002,  175,  30,   0,   0,   W,   0,   X, 345,   8,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
