WP, 20, 2017090818,   , BEST,   0, 134N, 1469E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  120,  40,   0,   0,   W,   0,   X, 290,  16,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017090900,   , BEST,   0, 136N, 1451E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1009,  120,  40,   0,   0,   W,   0,   X, 280,  17,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017090906,   , BEST,   0, 149N, 1435E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  40,   0,   0,   W,   0,   X, 290,  18,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017090912,   , BEST,   0, 152N, 1427E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  40,   0,   0,   W,   0,   X, 290,  14,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017090918,   , BEST,   0, 157N, 1413E,  40, 1001, XX,  34, NEQ,   85,   85,   35,   25, 1007,  185,  40,   0,   0,   W,   0,   X, 285,  12,      TALIM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017091000,   , BEST,   0, 161N, 1402E,  40, 1000, XX,  34, NEQ,   80,   85,   65,   40, 1008,  185,  40,   0,   0,   W,   0,   X, 290,  12,      TALIM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017091006,   , BEST,   0, 162N, 1391E,  40, 1000, XX,  34, NEQ,   80,   95,  170,   75, 1008,  185,  40,   0,   0,   W,   0,   X, 285,  12,      TALIM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017091018,   , BEST,   0, 174N, 1372E,  45,  997, XX,  34, NEQ,  110,  110,   60,   60, 1006,  175,  35,   0,   0,   W,   0,   X, 300,  11,      TALIM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017091100,   , BEST,   0, 180N, 1364E,  55,  991, XX,  34, NEQ,  125,  120,   85,   95, 1006,  175,  30,   0,   0,   W,   0,   X, 300,  10,      TALIM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017091106,   , BEST,   0, 189N, 1347E,  60,  988, XX,  34, NEQ,  140,  125,   55,  105, 1006,  175,  30,   0,   0,   W,   0,   X, 300,  13,      TALIM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017091112,   , BEST,   0, 193N, 1337E,  60,  988, XX,  34, NEQ,  140,  110,   65,  135, 1006,  175,  30,   0,   0,   W,   0,   X, 295,  13,      TALIM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017091118,   , BEST,   0, 207N, 1313E,  60,  989, XX,  34, NEQ,  125,  100,   45,  105, 1006,  170,  30,   0,   0,   W,   0,   X, 300,  18,      TALIM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
WP, 20, 2017091200,   , BEST,   0, 215N, 1306E,  65,  986, XX,  34, NEQ,  140,  110,   80,  105, 1008,  190,  15,   0,   0,   W,   0,   X, 305,  15,      TALIM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202017, JTWC, NCEP_TCVITALS, 
