WP, 20, 2019100506,   , BEST,   0, 153N, 1611E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  30,   0,   0,   W,   0,   X, 275,  14,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100512,   , BEST,   0, 151N, 1592E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  30,   0,   0,   W,   0,   X, 270,  16,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100518,   , BEST,   0, 153N, 1578E,  35, 1003, XX,  34, NEQ,   50,   50,   35,   35, 1006,  200,  25,   0,   0,   W,   0,   X, 270,  15,     TWENTY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100600,   , BEST,   0, 151N, 1558E,  40, 1000, XX,  34, NEQ,   95,   95,   85,   85, 1006,  200,  25,   0,   0,   W,   0,   X, 270,  17,    HAGIBIS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100606,   , BEST,   0, 142N, 1541E,  50,  996, XX,  34, NEQ,   80,   75,   85,   85, 1006,  195,  20,   0,   0,   W,   0,   X, 260,  17,    HAGIBIS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100612,   , BEST,   0, 145N, 1524E,  50,  995, XX,  34, NEQ,  115,   95,   80,  115, 1005,  250,  20,   0,   0,   W,   0,   X, 265,  17,    HAGIBIS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100618,   , BEST,   0, 149N, 1511E,  65,  985, XX,  34, NEQ,  125,  100,   90,  115, 1005,  250,  15,   0,   0,   W,   0,   X, 275,  15,    HAGIBIS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100700,   , BEST,   0, 151N, 1495E,  90,  967, XX,  34, NEQ,  150,  130,  105,  150, 1005,  250,   5,   0,   0,   W,   0,   X, 280,  15,    HAGIBIS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100706,   , BEST,   0, 155N, 1482E, 130,  930, XX,  34, NEQ,  180,  135,  120,  170, 1007,  250,   5,   0,   0,   W,   0,   X, 285,  14,    HAGIBIS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100712,   , BEST,   0, 161N, 1467E, 140,  920, XX,  34, NEQ,  230,  175,  195,  205, 1002,  210,   5,   0,   0,   W,   0,   X, 285,  15,    HAGIBIS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
WP, 20, 2019100718,   , BEST,   0, 165N, 1450E, 140,  915, XX,  34, NEQ,  220,  195,  155,  190, 1002,  210,   6,   0,   0,   W,   0,   X, 290,  15,    HAGIBIS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202019, JTWC, NCEP_TCVITALS, 
