WP, 26, 2018090700,   , BEST,   0, 123N, 1680E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090706,   , BEST,   0, 124N, 1667E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090712,   , BEST,   0, 128N, 1655E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  35,   0,   0,   W,   0,   X, 280,  14,  TWENTY-SI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090718,   , BEST,   0, 130N, 1639E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 280,  14,   MANGKHUT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090800,   , BEST,   0, 136N, 1623E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 285,  15,   MANGKHUT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090806,   , BEST,   0, 143N, 1608E,  40,  993, XX,  34, NEQ,   65,   35,   50,  140, 1008,  250,  30,   0,   0,   W,   0,   X, 290,  15,   MANGKHUT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090812,   , BEST,   0, 148N, 1591E,  45,  989, XX,  34, NEQ,   85,   45,   45,   95, 1009,  150,  30,   0,   0,   W,   0,   X, 290,  16,   MANGKHUT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090818,   , BEST,   0, 149N, 1570E,  55,  995, XX,  34, NEQ,  100,   75,   75,  100, 1008,  170,  25,   0,   0,   W,   0,   X, 285,  18,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090900,   , BEST,   0, 151N, 1549E,  65,  989, XX,  34, NEQ,  115,   65,   65,  115, 1008,  170,  25,   0,   0,   W,   0,   X, 280,  19,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090906,   , BEST,   0, 151N, 1529E,  75,  967, XX,  34, NEQ,  110,   60,   70,  110, 1007,  170,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090912,   , BEST,   0, 151N, 1509E,  75,  967, XX,  34, NEQ,  120,   65,   65,  110, 1009,  185,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090918,   , BEST,   0, 147N, 1491E,  80,  980, XX,  34, NEQ,  120,   85,   85,  120, 1009,  185,  20,   0,   0,   W,   0,   X, 265,  19,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091000,   , BEST,   0, 145N, 1474E,  80,  980, XX,  34, NEQ,  125,   85,   85,  125, 1009,  185,  20,   0,   0,   W,   0,   X, 260,  18,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091006,   , BEST,   0, 143N, 1457E,  90,  950, XX,  34, NEQ,  155,   90,  105,  140, 1008,  195,  20,   0,   0,   W,   0,   X, 260,  17,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091012,   , BEST,   0, 141N, 1442E, 100,  948, XX,  34, NEQ,  155,  100,  110,  155, 1006,  210,   5,   0,   0,   W,   0,   X, 260,  16,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091018,   , BEST,   0, 140N, 1426E, 110,  950, XX,  34, NEQ,  190,  130,  140,  190, 1006,  200,   5,   0,   0,   W,   0,   X, 265,  16,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091100,   , BEST,   0, 140N, 1412E, 120,  941, XX,  34, NEQ,  180,  120,  125,  170, 1006,  200,   5,   0,   0,   W,   0,   X, 265,  15,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091106,   , BEST,   0, 140N, 1397E, 135,  920, XX,  34, NEQ,  180,  140,  130,  165, 1006,  190,  15,   0,   0,   W,   0,   X, 270,  15,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091112,   , BEST,   0, 137N, 1386E, 140,  917, XX,  34, NEQ,  175,  125,  135,  180, 1004,  190,  17,   0,   0,   W,   0,   X, 265,  13,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091118,   , BEST,   0, 139N, 1373E, 140,  917, XX,  34, NEQ,  190,  140,  140,  180, 1004,  215,  17,   0,   0,   W,   0,   X, 270,  13,   MANGKHUT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
