WP, 28, 2018092018,   , BEST,   0, 138N, 1451E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  185,  70,   0,   0,   W,   0,   X, 300,   6,  TWENTY-EI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092100,   , BEST,   0, 146N, 1440E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  160,  70,   0,   0,   W,   0,   X, 310,   9,  TWENTY-EI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092106,   , BEST,   0, 151N, 1434E,  35, 1001, XX,  34, NEQ,  105,   85,   30,   70, 1006,  160,  65,   0,   0,   W,   0,   X, 310,  10,  TWENTY-EI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092112,   , BEST,   0, 156N, 1425E,  40, 1000, XX,  34, NEQ,  130,  100,   50,  105, 1008,  170,  60,   0,   0,   W,   0,   X, 305,  10,  TWENTY-EI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092118,   , BEST,   0, 160N, 1413E,  40,  998, XX,  34, NEQ,  145,  145,   65,  120, 1006,  165,  60,   0,   0,   W,   0,   X, 300,  11,      TRAMI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092200,   , BEST,   0, 166N, 1404E,  50,  993, XX,  34, NEQ,  150,  145,   60,  120, 1006,  165,  60,   0,   0,   W,   0,   X, 300,  11,      TRAMI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092206,   , BEST,   0, 165N, 1390E,  50,  995, XX,  34, NEQ,  165,   50,   50,  105, 1007,  175,  45,   0,   0,   W,   0,   X, 285,  12,      TRAMI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092212,   , BEST,   0, 170N, 1375E,  55,  993, XX,  34, NEQ,  165,   55,   55,  105, 1007,  175,  30,   0,   0,   W,   0,   X, 285,  13,      TRAMI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092218,   , BEST,   0, 169N, 1359E,  65,  985, XX,  34, NEQ,  165,  100,   70,  120, 1006,  180,  20,   0,   0,   W,   0,   X, 280,  14,      TRAMI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092300,   , BEST,   0, 170N, 1351E,  70,  982, XX,  34, NEQ,  165,   95,   75,  135, 1006,  180,  20,   0,   0,   W,   0,   X, 275,  12,      TRAMI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
WP, 28, 2018092306,   , BEST,   0, 173N, 1343E,  95,  962, XX,  34, NEQ,  170,   75,   75,  135, 1005,  200,   5,   0,   0,   W,   0,   X, 280,  10,      TRAMI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP282018, JTWC, NCEP_TCVITALS, 
