AL, 12, 2021083118,   , BEST,   0, 115N,  206W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  110,  50,  40,   0,   L,   0,    ,   0,   0,     TWELVE, M,  0,    ,    0,    0,    0,    0, genesis-num, 026, TRANSITIONED, alB02021 to al122021, 
AL, 12, 2021090100,   , BEST,   0, 119N,  225W,  35, 1005, TS,  34, NEQ,   30,   30,    0,   30, 1011,  180,  45,  40,   0,   L,   0,    ,   0,   0,     TWELVE, M,  0,    ,    0,    0,    0,    0, genesis-num, 026, 
AL, 12, 2021090106,   , BEST,   0, 122N,  245W,  40, 1004, TS,  34, NEQ,   40,   40,   40,   30, 1011,  180,  40,  50,   0,   L,   0,    ,   0,   0,      LARRY, D,  0,    ,    0,    0,    0,    0, genesis-num, 026, 
AL, 12, 2021090112,   , BEST,   0, 124N,  265W,  45, 1003, TS,  34, NEQ,   50,   50,   40,   40, 1011,  180,  30,  50,   0,   L,   0,    ,   0,   0,      LARRY, D,  0,    ,    0,    0,    0,    0, genesis-num, 026, 
AL, 12, 2021090118,   , BEST,   0, 125N,  284W,  55,  999, TS,  34, NEQ,   60,   50,   40,   60, 1011,  180,  20,  65,   0,   L,   0,    ,   0,   0,      LARRY, D, 12, NEQ,   50,    0,    0,    0, genesis-num, 026, 
AL, 12, 2021090118,   , BEST,   0, 125N,  284W,  55,  999, TS,  50, NEQ,   20,    0,    0,   20, 1011,  180,  20,  65,   0,   L,   0,    ,   0,   0,      LARRY, D, 12, NEQ,   50,    0,    0,    0, genesis-num, 026, 
AL, 12, 2021090200,   , BEST,   0, 127N,  300W,  60,  996, TS,  34, NEQ,   60,   50,   40,   60, 1011,  210,  20,  75,   0,   L,   0,    ,   0,   0,      LARRY, D, 12, NEQ,   60,   30,   30,    0, genesis-num, 026, 
AL, 12, 2021090200,   , BEST,   0, 127N,  300W,  60,  996, TS,  50, NEQ,   20,    0,    0,   20, 1011,  210,  20,  75,   0,   L,   0,    ,   0,   0,      LARRY, D, 12, NEQ,   60,   30,   30,    0, genesis-num, 026, 
AL, 12, 2021090206,   , BEST,   0, 130N,  316W,  65,  991, HU,  34, NEQ,   80,   80,   50,   80, 1010,  200,  15,  80,   0,   L,   0,    ,   0,   0,      LARRY, D, 12, NEQ,   90,   60,   45,   60, genesis-num, 026, 
AL, 12, 2021090206,   , BEST,   0, 130N,  316W,  65,  991, HU,  50, NEQ,   30,   20,    0,   30, 1010,  200,  15,  80,   0,   L,   0,    ,   0,   0,      LARRY, D, 12, NEQ,   90,   60,   45,   60, genesis-num, 026, 
AL, 12, 2021090206,   , BEST,   0, 130N,  316W,  65,  991, HU,  64, NEQ,   15,   15,    0,   15, 1010,  200,  15,  80,   0,   L,   0,    ,   0,   0,      LARRY, D, 12, NEQ,   90,   60,   45,   60, genesis-num, 026, 
AL, 12, 2021090212,   , BEST,   0, 133N,  333W,  70,  987, HU,  34, NEQ,  100,  100,   50,  100, 1010,  200,  15,  85,   0,   L,   0,    ,   0,   0,      LARRY, D, 12, NEQ,  120,   90,   60,   90, genesis-num, 026, 
