AL, 16, 2018102618,   , BEST,   0, 254N,  453W,  35, 1006, SS,  34, NEQ,   80,   80,    0,    0, 1011,  180,  70,  45,   0,   L,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 041, 
AL, 16, 2018102700,   , BEST,   0, 264N,  453W,  40, 1005, SS,  34, NEQ,   90,   90,    0,   90, 1012,  180,  70,  50,   0,   L,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 041, TRANSITIONED, alC52018 to al162018, 
AL, 16, 2018102706,   , BEST,   0, 271N,  465W,  45,  998, SS,  34, NEQ,   90,   90,    0,  120, 1011,  210,  70,  50,   0,   L,   0,    ,   0,   0,      OSCAR, M, 12, NEQ,  150,   60,    0,  120, genesis-num, 041, 
AL, 16, 2018102712,   , BEST,   0, 274N,  480W,  50,  995, SS,  34, NEQ,   90,   90,   30,  150, 1011,  210,  30,  60,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  270,   90,   90,  210, genesis-num, 041, 
AL, 16, 2018102712,   , BEST,   0, 274N,  480W,  50,  995, SS,  50, NEQ,    0,    0,    0,   30, 1011,  210,  30,  60,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  270,   90,   90,  210, genesis-num, 041, 
AL, 16, 2018102718,   , BEST,   0, 271N,  499W,  50,  995, TS,  34, NEQ,   90,   90,   40,  150, 1011,  210,  40,  60,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  270,   90,   90,  210, genesis-num, 041, 
AL, 16, 2018102718,   , BEST,   0, 271N,  499W,  50,  995, TS,  50, NEQ,    0,    0,    0,   30, 1011,  210,  40,  60,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  270,   90,   90,  210, genesis-num, 041, 
AL, 16, 2018102800,   , BEST,   0, 259N,  511W,  55,  994, TS,  34, NEQ,   80,   70,   60,  120, 1011,  210,  25,  60,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  270,   90,   90,  210, genesis-num, 041, 
AL, 16, 2018102800,   , BEST,   0, 259N,  511W,  55,  994, TS,  50, NEQ,   30,    0,    0,   30, 1011,  210,  25,  60,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  270,   90,   90,  210, genesis-num, 041, 
AL, 16, 2018102806,   , BEST,   0, 254N,  520W,  55,  994, TS,  34, NEQ,   80,   70,   60,   90, 1011,  210,  25,  65,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  480,   90,  120,  300, genesis-num, 041, 
AL, 16, 2018102806,   , BEST,   0, 254N,  520W,  55,  994, TS,  50, NEQ,   30,    0,    0,   30, 1011,  210,  25,  65,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  480,   90,  120,  300, genesis-num, 041, 
