EP, 05, 2021062506,   , BEST,   0, 152N, 1013W,  35, 1006, TS,  34, NEQ,   60,   60,    0,    0, 1010,  160,  60,  45,   0,   E,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 008, TRANSITIONED, epA52021 to ep052021, 
EP, 05, 2021062512,   , BEST,   0, 155N, 1021W,  40, 1004, TS,  34, NEQ,   90,   60,    0,    0, 1010,  160,  50,  50,   0,   E,   0,    ,   0,   0,    ENRIQUE, M, 12, NEQ,    0,   60,    0,    0, genesis-num, 008, 
EP, 05, 2021062518,   , BEST,   0, 158N, 1030W,  45, 1001, TS,  34, NEQ,  120,   90,    0,    0, 1010,  160,  40,  55,   0,   E,   0,    ,   0,   0,    ENRIQUE, M, 12, NEQ,   90,    0,    0,    0, genesis-num, 008, 
EP, 05, 2021062600,   , BEST,   0, 162N, 1038W,  55,  993, TS,  34, NEQ,  120,   90,   30,   60, 1007,  180,  25,  65,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   90,   60,    0,   60, genesis-num, 008, 
EP, 05, 2021062600,   , BEST,   0, 162N, 1038W,  55,  993, TS,  50, NEQ,   30,   20,    0,   20, 1007,  180,  25,  65,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   90,   60,    0,   60, genesis-num, 008, 
EP, 05, 2021062606,   , BEST,   0, 165N, 1045W,  60,  988, TS,  34, NEQ,  120,   90,   30,   60, 1007,  180,  25,  75,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   90,   60,    0,   60, genesis-num, 008, 
EP, 05, 2021062606,   , BEST,   0, 165N, 1045W,  60,  988, TS,  50, NEQ,   40,   20,    0,   20, 1007,  180,  25,  75,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   90,   60,    0,   60, genesis-num, 008, 
EP, 05, 2021062612,   , BEST,   0, 168N, 1051W,  70,  983, HU,  34, NEQ,  120,   90,   30,   60, 1007,  180,  20,  80,   0,   E,   0,    ,   0,   0,    ENRIQUE, D,  0,    ,    0,    0,    0,    0, genesis-num, 008, 
EP, 05, 2021062612,   , BEST,   0, 168N, 1051W,  70,  983, HU,  50, NEQ,   40,   30,    0,   20, 1007,  180,  20,  80,   0,   E,   0,    ,   0,   0,    ENRIQUE, D,  0,    ,    0,    0,    0,    0, genesis-num, 008, 
EP, 05, 2021062612,   , BEST,   0, 168N, 1051W,  70,  983, HU,  64, NEQ,   20,    0,    0,    0, 1007,  180,  20,  80,   0,   E,   0,    ,   0,   0,    ENRIQUE, D,  0,    ,    0,    0,    0,    0, genesis-num, 008, 
EP, 05, 2021062618,   , BEST,   0, 169N, 1056W,  75,  978, HU,  34, NEQ,  120,   90,   30,   60, 1007,  180,  20,  90,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  135,  120,   90,   90, genesis-num, 008, 
EP, 05, 2021062618,   , BEST,   0, 169N, 1056W,  75,  978, HU,  50, NEQ,   40,   30,   20,   40, 1007,  180,  20,  90,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  135,  120,   90,   90, genesis-num, 008, 
EP, 05, 2021062618,   , BEST,   0, 169N, 1056W,  75,  978, HU,  64, NEQ,   20,   15,    0,   20, 1007,  180,  20,  90,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  135,  120,   90,   90, genesis-num, 008, 
EP, 05, 2021062700,   , BEST,   0, 171N, 1059W,  75,  977, HU,  34, NEQ,  120,   90,   30,   60, 1005,  150,  20,  90,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  150,  180,  150,  150, genesis-num, 008, 
EP, 05, 2021062700,   , BEST,   0, 171N, 1059W,  75,  977, HU,  50, NEQ,   40,   30,   20,   40, 1005,  150,  20,  90,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  150,  180,  150,  150, genesis-num, 008, 
EP, 05, 2021062700,   , BEST,   0, 171N, 1059W,  75,  977, HU,  64, NEQ,   20,   15,    0,   20, 1005,  150,  20,  90,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  150,  180,  150,  150, genesis-num, 008, 
EP, 05, 2021062706,   , BEST,   0, 175N, 1059W,  80,  973, HU,  34, NEQ,  110,   90,   60,  100, 1006,  130,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  180,  210,  150,  150, genesis-num, 008, 
EP, 05, 2021062706,   , BEST,   0, 175N, 1059W,  80,  973, HU,  50, NEQ,   40,   40,   20,   40, 1006,  130,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  180,  210,  150,  150, genesis-num, 008, 
EP, 05, 2021062706,   , BEST,   0, 175N, 1059W,  80,  973, HU,  64, NEQ,   20,   20,    0,   20, 1006,  130,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  180,  210,  150,  150, genesis-num, 008, 
