IO, 07, 2018111018,   , BEST,   0, 131N, 0894E,  35, 1006, XX,  34, NEQ,   25,    0,    0,   20, 1009,  230,  25,   0,   0,   B,   0,   X, 290,  10,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111100,   , BEST,   0, 133N, 0892E,  40, 1001, XX,  34, NEQ,   60,    0,    0,   55, 1008,  230,  30,   0,   0,   B,   0,   X, 295,   8,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111106,   , BEST,   0, 133N, 0886E,  35,  996, XX,  34, NEQ,   55,   55,   50,   45, 1009,  210,  15,   0,   0,   B,   0,   X, 290,   6,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111112,   , BEST,   0, 134N, 0876E,  35,  996, XX,  34, NEQ,   80,   50,   55,   55, 1008,  215,  15,   0,   0,   B,   0,   X, 280,   7,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111118,   , BEST,   0, 129N, 0869E,  35, 1004, XX,  34, NEQ,   65,   35,   40,   40, 1008,  140,  35,   0,   0,   B,   0,   X, 260,   8,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111200,   , BEST,   0, 123N, 0863E,  35, 1004, XX,  34, NEQ,   50,   30,   35,   45, 1008,  210,  35,   0,   0,   B,   0,   X, 245,   8,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111206,   , BEST,   0, 122N, 0873E,  40, 1001, XX,  34, NEQ,   55,   30,   30,   55, 1008,  200,  35,   0,   0,   B,   0,   X, 200,   3,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111212,   , BEST,   0, 126N, 0876E,  40,  998, XX,  34, NEQ,   40,   50,   30,   45, 1006,  215,  35,   0,   0,   B,   0,   X, 135,   1,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111218,   , BEST,   0, 132N, 0877E,  35, 1001, XX,  34, NEQ,   30,   35,   15,   10, 1006,  165,  25,   0,   0,   B,   0,   X,  25,   3,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111300,   , BEST,   0, 137N, 0874E,  35, 1002, XX,  34, NEQ,   65,   70,   90,   65, 1008,  190,  25,   0,   0,   B,   0,   X, 355,   4,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111306,   , BEST,   0, 139N, 0864E,  35, 1004, XX,  34, NEQ,   50,   80,   30,   40, 1008,  190,  25,   0,   0,   B,   0,   X, 320,   6,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111312,   , BEST,   0, 135N, 0859E,  35, 1004, XX,  34, NEQ,   60,   95,   50,   50, 1008,  190,  25,   0,   0,   B,   0,   X, 280,   6,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111318,   , BEST,   0, 134N, 0857E,  35, 1003, XX,  34, NEQ,   55,   90,   35,   45, 1008,  190,  25,   0,   0,   B,   0,   X, 260,   6,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111400,   , BEST,   0, 131N, 0853E,  40, 1001, XX,  34, NEQ,   50,   80,   35,   45, 1008,  200,  25,   0,   0,   B,   0,   X, 240,   5,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111406,   , BEST,   0, 128N, 0848E,  45,  989, XX,  34, NEQ,   50,   55,   50,   60, 1008,  200,  25,   0,   0,   B,   0,   X, 240,   5,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111412,   , BEST,   0, 123N, 0840E,  45,  989, XX,  34, NEQ,   45,   50,   50,   55, 1007,  195,  25,   0,   0,   B,   0,   X, 235,   7,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
IO, 07, 2018111418,   , BEST,   0, 118N, 0840E,  45,  999, XX,  34, NEQ,   55,   30,   30,   35, 1008,  180,  20,   0,   0,   B,   0,   X, 225,   6,       GAJA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO072018, JTWC, NCEP_TCVITALS, 
