IO, 92, 2020052818,   , BEST,   0, 169N, 0542E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,   90,  40,   0,   0,   A,   0,   X, 355,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020052900,   , BEST,   0, 172N, 0539E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  130,  40,   0,   0,   A,   0,   X, 345,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020052906,   , BEST,   0, 173N, 0542E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1004,  130,  40,   0,   0,   A,   0,   X, 335,   2,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020052912,   , BEST,   0, 173N, 0543E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  130,  40,   0,   0,   A,   0,   X,  15,   1,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020052918,   , BEST,   0, 167N, 0543E,  25,  999, XX,  34, NEQ,    0,    0,    0,    0, 1003,  115,  40,   0,   0,   A,   0,   X, 165,   1,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020053000,   , BEST,   0, 171N, 0541E,  25,  998, XX,  34, NEQ,    0,    0,    0,    0, 1002,  130,  30,   0,   0,   A,   0,   X, 290,   1,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020053006,   , BEST,   0, 169N, 0542E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1002,  130,  30,   0,   0,   A,   0,   X, 355,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020053012,   , BEST,   0, 169N, 0541E,  25,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  130,  30,   0,   0,   A,   0,   X, 300,   1,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020053018,   , BEST,   0, 172N, 0543E,  20, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1002,  130,  30,   0,   0,   A,   0,   X,    ,   1,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020053100,   , BEST,   0, 176N, 0539E,  20, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1002,  120,  30,   0,   0,   A,   0,   X, 340,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
IO, 92, 2020053106,   , BEST,   0, 177N, 0533E,  20, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1002,  120,  30,   0,   0,   A,   0,   X, 315,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO922020, JTWC, NCEP_TCVITALS, 
