SH, 06, 2018011218,   , BEST,   0, 170S, 0671E,  35, 1002, XX,  34, NEQ,   70,  120,   50,   50, 1007,  190,  50,   0,   0,   S,   0,   X, 225,   8,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011300,   , BEST,   0, 173S, 0656E,  35, 1002, XX,  34, NEQ,   75,  125,   55,   55, 1007,  190,  50,   0,   0,   S,   0,   X, 250,  10,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011306,   , BEST,   0, 177S, 0649E,  40, 1000, XX,  34, NEQ,   80,  120,   55,   60, 1007,  190,  50,   0,   0,   S,   0,   X, 250,   9,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011312,   , BEST,   0, 179S, 0640E,  40, 1000, XX,  34, NEQ,   85,  120,   60,   60, 1007,  200,  50,   0,   0,   S,   0,   X, 250,  10,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011318,   , BEST,   0, 183S, 0636E,  40,  998, XX,  34, NEQ,   90,  100,  115,    0, 1006,  200,  30,   0,   0,   S,   0,   X, 245,   8,  BERGUITTA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011400,   , BEST,   0, 182S, 0634E,  50,  991, XX,  34, NEQ,   75,  115,  105,   40, 1004,  172,  30,   0,   0,   S,   0,   X, 250,   6,  BERGUITTA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011406,   , BEST,   0, 181S, 0630E,  55,  988, XX,  34, NEQ,   80,  115,  140,   60, 1005,  185,  30,   0,   0,   S,   0,   X, 270,   4,  BERGUITTA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011412,   , BEST,   0, 181S, 0629E,  55,  991, XX,  34, NEQ,   75,  120,  135,   70, 1008,  190,  30,   0,   0,   S,   0,   X, 275,   3,  BERGUITTA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011418,   , BEST,   0, 180S, 0631E,  55,  987, XX,  34, NEQ,   85,  180,  150,   70, 1006,  200,  30,   0,   0,   S,   0,   X, 305,   1,  BERGUITTA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011500,   , BEST,   0, 178S, 0632E,  60,  982, XX,  34, NEQ,  100,  190,  160,   90, 1004,  210,  20,   0,   0,   S,   0,   X,    ,   1,  BERGUITTA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
SH, 06, 2018011500,   , BEST,   0, 178S, 0632E,  65,  979, XX,  34, NEQ,  100,  190,  160,   90, 1004,  210,  20,   0,   0,   S,   0,   X,    ,   1,  BERGUITTA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH062018, JTWC, NCEP_TCVITALS, 
