SH, 12, 2018030612,   , BEST,   0, 159S, 1689E,  35,  999, XX,  34, NEQ,   80,   20,   25,   65, 1003,  230,  60,   0,   0,   P,   0,   X, 260,   8,     TWELVE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030618,   , BEST,   0, 161S, 1684E,  40,  995, XX,  34, NEQ,   90,   45,  125,    0, 1003,  230,  40,   0,   0,   P,   0,   X, 250,   8,       HOLA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030700,   , BEST,   0, 160S, 1676E,  50,  992, XX,  34, NEQ,   65,   70,   80,   60, 1004,  190,  30,   0,   0,   P,   0,   X, 260,   7,       HOLA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030706,   , BEST,   0, 161S, 1669E,  55,  992, XX,  34, NEQ,   70,   85,   80,   65, 1004,  190,  30,   0,   0,   P,   0,   X, 265,   6,       HOLA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030712,   , BEST,   0, 166S, 1666E,  65,  994, XX,  34, NEQ,   80,   80,   70,   50, 1002,  210,   6,   0,   0,   P,   0,   X, 255,   6,       HOLA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030718,   , BEST,   0, 169S, 1662E,  90,  962, XX,  34, NEQ,  125,  120,   70,   85, 1002,  190,   6,   0,   0,   P,   0,   X, 235,   5,       HOLA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030800,   , BEST,   0, 172S, 1656E,  90,  963, XX,  34, NEQ,   95,  100,   95,   80, 1002,  190,   6,   0,   0,   P,   0,   X, 235,   6,       HOLA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030806,   , BEST,   0, 176S, 1654E,  95,  957, XX,  34, NEQ,  110,  135,   95,   90, 1001,  190,   6,   0,   0,   P,   0,   X, 230,   5,       HOLA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030812,   , BEST,   0, 177S, 1654E,  95,  958, XX,  34, NEQ,  115,  125,  105,   95, 1003,  185,   6,   0,   0,   P,   0,   X, 225,   4,       HOLA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030818,   , BEST,   0, 180S, 1652E,  95,  956, XX,  34, NEQ,  165,  160,  125,  125, 1003,  195,   6,   0,   0,   P,   0,   X, 210,   3,       HOLA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
SH, 12, 2018030900,   , BEST,   0, 181S, 1653E,  85,  966, XX,  34, NEQ,  135,  115,   85,   55, 1004,  185,  10,   0,   0,   P,   0,   X, 190,   2,       HOLA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122018, JTWC, NCEP_TCVITALS, 
