SH, 16, 2019022512,   , BEST,   0, 128S, 1761W,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1004,  220,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 16, 2019022518,   , BEST,   0, 139S, 1759W,  30, 1001, TD,   0,    ,    0,    0,    0,    0, 1004,  240,  55,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 16, 2019022600,   , BEST,   0, 149S, 1756W,  35,  997, TS,  34, NEQ,    0,    0,   90,   80, 1003,  230,  30,   0,   0,   P,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, shD52019 to sh162019, 
SH, 16, 2019022606,   , BEST,   0, 160S, 1759W,  40,  993, TS,  34, NEQ,   80,   80,   90,   90, 1002,  240,  30,   0,   0,   P,   0,    ,   0,   0,    SIXTEEN, M, 
SH, 16, 2019022612,   , BEST,   0, 170S, 1761W,  45,  990, TS,  34, NEQ,   95,   85,   30,   80, 1003,  230,  30,  50,   0,   P,   0,    ,   0,   0,    SIXTEEN, M, 
SH, 16, 2019022618,   , BEST,   0, 182S, 1764W,  55,  987, TS,  34, NEQ,  125,  135,  100,  105, 1003,  240,  35,   0,   0,   P,   0,    ,   0,   0,       POLA, M, 
SH, 16, 2019022618,   , BEST,   0, 182S, 1764W,  55,  987, TS,  50, NEQ,   20,   20,   20,   20, 1003,  240,  35,   0,   0,   P,   0,    ,   0,   0,       POLA, M, 
SH, 16, 2019022700,   , BEST,   0, 193S, 1771W,  70,  978, TY,  34, NEQ,  130,  165,   85,  120, 1003,  290,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, M, 
SH, 16, 2019022700,   , BEST,   0, 193S, 1771W,  70,  978, TY,  50, NEQ,   65,   85,   30,   40, 1003,  290,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, M, 
SH, 16, 2019022700,   , BEST,   0, 193S, 1771W,  70,  978, TY,  64, NEQ,    0,   25,   15,    0, 1003,  290,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, M, 
SH, 16, 2019022706,   , BEST,   0, 198S, 1776W,  75,  974, TY,  34, NEQ,  140,  125,  100,  130, 1003,  250,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022706,   , BEST,   0, 198S, 1776W,  75,  974, TY,  50, NEQ,   60,   55,   50,   60, 1003,  250,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022706,   , BEST,   0, 198S, 1776W,  75,  974, TY,  64, NEQ,   35,   30,   30,   35, 1003,  250,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022712,   , BEST,   0, 204S, 1779W,  80,  963, TY,  34, NEQ,  120,  135,   95,   85, 1003,  225,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022712,   , BEST,   0, 204S, 1779W,  80,  963, TY,  50, NEQ,   60,   70,   45,   40, 1003,  225,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022712,   , BEST,   0, 204S, 1779W,  80,  963, TY,  64, NEQ,   30,   35,   25,   20, 1003,  225,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022718,   , BEST,   0, 213S, 1781W,  85,  959, TY,  34, NEQ,  135,  150,  115,   85, 1003,  210,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022718,   , BEST,   0, 213S, 1781W,  85,  959, TY,  50, NEQ,   70,   80,   60,   40, 1003,  210,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022718,   , BEST,   0, 213S, 1781W,  85,  959, TY,  64, NEQ,   35,   40,   30,   20, 1003,  210,  20,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022800,   , BEST,   0, 222S, 1780W,  95,  958, TY,  34, NEQ,  135,  130,   80,   95, 1004,  220,   5,   0,  10,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022800,   , BEST,   0, 222S, 1780W,  95,  958, TY,  50, NEQ,   50,   50,   30,   30, 1004,  220,   5,   0,  10,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022800,   , BEST,   0, 222S, 1780W,  95,  958, TY,  64, NEQ,   35,   35,   20,   20, 1004,  220,   5,   0,  10,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022806,   , BEST,   0, 233S, 1780W, 100,  948, TY,  34, NEQ,  140,  170,  105,  100, 1004,  220,   5,   0,  10,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022806,   , BEST,   0, 233S, 1780W, 100,  948, TY,  50, NEQ,   55,   60,   50,   45, 1004,  220,   5,   0,  10,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022806,   , BEST,   0, 233S, 1780W, 100,  948, TY,  64, NEQ,   35,   35,   25,   25, 1004,  220,   5,   0,  10,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022812,   , BEST,   0, 243S, 1782W,  95,  952, TY,  34, NEQ,  135,  115,  115,   65, 1005,  220,   7,   0,   5,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022812,   , BEST,   0, 243S, 1782W,  95,  952, TY,  50, NEQ,   65,   45,   55,   30, 1005,  220,   7,   0,   5,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022812,   , BEST,   0, 243S, 1782W,  95,  952, TY,  64, NEQ,   35,   25,   20,   20, 1005,  220,   7,   0,   5,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022818,   , BEST,   0, 253S, 1782W,  85,  965, TY,  34, NEQ,  130,  110,  110,   65, 1005,  200,   7,   0,   5,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022818,   , BEST,   0, 253S, 1782W,  85,  965, TY,  50, NEQ,   60,   40,   50,   25, 1005,  200,   7,   0,   5,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019022818,   , BEST,   0, 253S, 1782W,  85,  965, TY,  64, NEQ,   30,   20,   15,   15, 1005,  200,   7,   0,   5,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019030100,   , BEST,   0, 263S, 1782W,  70,  974, TY,  34, NEQ,  140,  155,  175,  110, 1006,  185,   7,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019030100,   , BEST,   0, 263S, 1782W,  70,  974, TY,  50, NEQ,   80,   85,   95,   55, 1006,  185,   7,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019030100,   , BEST,   0, 263S, 1782W,  70,  974, TY,  64, NEQ,   45,   50,   50,   30, 1006,  185,   7,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
SH, 16, 2019030106,   , BEST,   0, 272S, 1778W,  65,  977, TY,  34, NEQ,  135,  155,  155,  115, 1006,  185,  15,   0,   0,   P,   0,    ,   0,   0,       POLA, D, 
