SH, 22, 2019032200,   , BEST,   0, 145S, 0625E,  35, 1000, XX,  34, NEQ,  110,   90,   55,   50, 1008,  215,  35,   0,   0,   S,   0,   X, 135,   8,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032206,   , BEST,   0, 147S, 0627E,  35,  996, XX,  34, NEQ,  110,   90,   55,   50, 1008,  165,  35,   0,   0,   S,   0,   X, 140,   7,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032212,   , BEST,   0, 150S, 0624E,  40,  993, XX,  34, NEQ,  100,  135,   50,  120, 1006,  165,  35,   0,   0,   S,   0,   X, 160,   4,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032218,   , BEST,   0, 154S, 0621E,  45,  996, XX,  34, NEQ,  125,  155,   80,   90, 1008,  175,  35,   0,   0,   S,   0,   X, 205,   3,   JOANINHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032300,   , BEST,   0, 162S, 0623E,  55,  989, XX,  34, NEQ,  125,  160,   85,   95, 1006,  170,  25,   0,   0,   S,   0,   X, 195,   5,   JOANINHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032306,   , BEST,   0, 163S, 0623E,  55,  982, XX,  34, NEQ,  115,  125,   90,   85, 1008,  180,  40,   0,   0,   S,   0,   X, 190,   4,   JOANINHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032312,   , BEST,   0, 167S, 0617E,  60,  978, XX,  34, NEQ,  125,  155,  115,   90, 1006,  175,  40,   0,   0,   S,   0,   X, 210,   4,   JOANINHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032318,   , BEST,   0, 168S, 0618E,  65,  983, XX,  34, NEQ,  120,  135,  135,  100, 1007,  175,  35,   0,   0,   S,   0,   X, 210,   3,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032400,   , BEST,   0, 171S, 0616E,  75,  977, XX,  34, NEQ,  125,  140,  120,   90, 1007,  175,  25,   0,   0,   S,   0,   X, 210,   3,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032406,   , BEST,   0, 169S, 0616E,  80,  963, XX,  34, NEQ,  130,  145,  125,  110, 1008,  200,  25,   0,   0,   S,   0,   X, 215,   2,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032412,   , BEST,   0, 171S, 0617E,  85,  959, XX,  34, NEQ,  130,  140,  125,  110, 1005,  185,  10,   0,   0,   S,   0,   X, 180,   1,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032418,   , BEST,   0, 173S, 0619E,  95,  958, XX,  34, NEQ,  110,  110,  105,  105, 1005,  185,   5,   0,   0,   S,   0,   X, 135,   1,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032500,   , BEST,   0, 175S, 0621E,  95,  958, XX,  34, NEQ,  140,  150,  130,  120, 1005,  185,  15,   0,   0,   S,   0,   X, 135,   2,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032506,   , BEST,   0, 178S, 0626E, 100,  948, XX,  34, NEQ,  140,  150,  135,  105, 1007,  200,  15,   0,   0,   S,   0,   X, 130,   3,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032512,   , BEST,   0, 183S, 0629E, 105,  944, XX,  34, NEQ,  145,  145,  130,  115, 1005,  190,  15,   0,   0,   S,   0,   X, 135,   4,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
