SH, 25, 2019042312,   , BEST,   0, 086S, 0819E,  35, 1002, XX,  34, NEQ,   50,   50,    0,   55, 1006,  190,  50,   0,   0,   S,   0,   X, 165,  11,  TWENTY-FI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042318,   , BEST,   0, 095S, 0827E,  40,  998, XX,  34, NEQ,   45,   45,    0,   90, 1006,  180,  30,   0,   0,   S,   0,   X, 160,  11,  TWENTY-FI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042400,   , BEST,   0, 105S, 0837E,  40,  996, XX,  34, NEQ,  100,   45,    0,  130, 1006,  180,  35,   0,   0,   S,   0,   X, 145,  12,      LORNA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042406,   , BEST,   0, 107S, 0840E,  40,  999, XX,  34, NEQ,   90,   60,    0,   95, 1006,  180,  35,   0,   0,   S,   0,   X, 135,  10,      LORNA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042412,   , BEST,   0, 107S, 0845E,  40,  996, XX,  34, NEQ,   90,   65,   75,   85, 1004,  165,  35,   0,   0,   S,   0,   X, 125,   7,      LORNA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042418,   , BEST,   0, 103S, 0846E,  40,  993, XX,  34, NEQ,  115,   90,   85,  130, 1007,  220,  70,   0,   0,   S,   0,   X, 100,   3,      LORNA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042500,   , BEST,   0, 108S, 0850E,  45,  989, XX,  34, NEQ,  105,   75,   85,  115, 1006,  240,  50,   0,   0,   S,   0,   X, 110,   4,      LORNA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042506,   , BEST,   0, 106S, 0854E,  45,  993, XX,  34, NEQ,  140,  115,  115,  120, 1006,  220,  45,   0,   0,   S,   0,   X, 105,   4,      LORNA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042512,   , BEST,   0, 108S, 0859E,  50,  991, XX,  34, NEQ,  120,  110,   85,  125, 1006,  220,  40,   0,   0,   S,   0,   X, 110,   4,      LORNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042518,   , BEST,   0, 109S, 0863E,  55,  982, XX,  34, NEQ,  115,   70,   80,  135, 1006,  245,  40,   0,   0,   S,   0,   X, 105,   5,      LORNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
SH, 25, 2019042600,   , BEST,   0, 111S, 0870E,  65,  974, XX,  34, NEQ,  155,   50,   70,  155, 1004,  215,  30,   0,   0,   S,   0,   X, 110,   5,      LORNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH252019, JTWC, NCEP_TCVITALS, 
