SH, 99, 2021011400,   , BEST,   0, 136S, 0764E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  340,  60,   0,   0,   S,   0,   X, 260,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011406,   , BEST,   0, 136S, 0751E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  35,   0,   0,   S,   0,   X, 260,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011412,   , BEST,   0, 136S, 0739E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  35,   0,   0,   S,   0,   X, 270,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011418,   , BEST,   0, 116S, 0723E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  35,   0,   0,   S,   0,   X, 295,  15,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011500,   , BEST,   0, 112S, 0715E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  210,  35,   0,   0,   S,   0,   X, 300,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011506,   , BEST,   0, 112S, 0704E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  220,  50,   0,   0,   S,   0,   X, 290,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011512,   , BEST,   0, 118S, 0693E,  20, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  200,  45,   0,   0,   S,   0,   X, 265,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011518,   , BEST,   0, 123S, 0675E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  45,   0,   0,   S,   0,   X, 255,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011600,   , BEST,   0, 125S, 0664E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  200,  40,   0,   0,   S,   0,   X, 255,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011606,   , BEST,   0, 123S, 0661E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  190,  40,   0,   0,   S,   0,   X, 260,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
SH, 99, 2021011612,   , BEST,   0, 125S, 0652E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  190,  40,   0,   0,   S,   0,   X, 260,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992021, JTWC, NCEP_TCVITALS, 
