WP, 12, 2016081812,   , BEST,   0, 308N, 1486E,  40,  993, XX,  34, NEQ,  140,   90,   40,  100, 1001,  180,  35,   0,   0,   W,   0,   X, 300,  17,     TWELVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016081818,   , BEST,   0, 323N, 1468E,  35,  996, XX,  34, NEQ,  140,   90,   40,  100, 1001,  150,  35,   0,   0,   W,   0,   X, 310,  18,     TWELVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016081900,   , BEST,   0, 328N, 1449E,  35,  996, XX,  34, NEQ,  140,   90,   40,  100, 1001,  150,  35,   0,   0,   W,   0,   X, 305,  17,     TWELVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016081906,   , BEST,   0, 331N, 1427E,  35,  996, XX,  34, NEQ,  140,   90,   40,  100, 1001,  150,  35,   0,   0,   W,   0,   X, 295,  18,     TWELVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016081912,   , BEST,   0, 330N, 1408E,  40,  993, XX,  34, NEQ,  140,   40,   40,  120, 1001,  150,  35,   0,   0,   W,   0,   X, 280,  17,     TWELVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016081918,   , BEST,   0, 324N, 1398E,  35,  998, XX,  34, NEQ,    0,    0,    0,    0, 1002,  135,  45,   0,   0,   W,   0,   X, 265,  14,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082000,   , BEST,   0, 320N, 1384E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1001,  125,  45,   0,   0,   W,   0,   X, 255,  13,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082006,   , BEST,   0, 314N, 1370E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1001,  145,  40,   0,   0,   W,   0,   X, 250,  13,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082012,   , BEST,   0, 309N, 1363E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1000,  145,  35,   0,   0,   W,   0,   X, 245,  11,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082018,   , BEST,   0, 302N, 1353E,  40,  993, XX,  34, NEQ,  100,   50,   50,  115, 1000,  140,  35,   0,   0,   W,   0,   X, 240,  10,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082100,   , BEST,   0, 300N, 1343E,  40,  993, XX,  34, NEQ,   70,   50,   50,  100,  998,  100,  35,   0,   0,   W,   0,   X, 245,   9,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082106,   , BEST,   0, 295N, 1334E,  40,  993, XX,  34, NEQ,   70,   50,   50,  100,  998,  100,  35,   0,   0,   W,   0,   X, 245,  10,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082112,   , BEST,   0, 290N, 1326E,  35,  996, XX,  34, NEQ,   60,   30,   40,   80,  998,  120,  35,   0,   0,   W,   0,   X, 245,   9,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082118,   , BEST,   0, 286N, 1329E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1001,  130,  35,   0,   0,   W,   0,   X, 220,   6,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082200,   , BEST,   0, 285N, 1331E,  35,  996, XX,  34, NEQ,   70,   50,   50,   70, 1002,  160,  35,   0,   0,   W,   0,   X, 195,   3,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082206,   , BEST,   0, 288N, 1336E,  35,  996, XX,  34, NEQ,   70,   50,   50,   70, 1002,  160,  35,   0,   0,   W,   0,   X, 105,   3,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082212,   , BEST,   0, 284N, 1339E,  35,  996, XX,  34, NEQ,   70,   50,   50,   70, 1002,  160,  35,   0,   0,   W,   0,   X, 105,   3,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
WP, 12, 2016082218,   , BEST,   0, 283N, 1345E,  40,  993, XX,  34, NEQ,   55,   65,   55,   45, 1002,  190,  35,   0,   0,   W,   0,   X, 100,   4,   LIONROCK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP122016, JTWC, NCEP_TCVITALS, 
