WP, 14, 2019090118,   , BEST,   0, 152N, 1699E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1009,  110,  35,   0,   0,   W,   0,   X, 270,   8,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090200,   , BEST,   0, 160N, 1680E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1010,  120,  35,   0,   0,   W,   0,   X, 280,  11,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090206,   , BEST,   0, 163N, 1665E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  125,  35,   0,   0,   W,   0,   X, 285,  14,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090212,   , BEST,   0, 166N, 1649E,  35, 1008, XX,  34, NEQ,   35,    0,    0,    0, 1011,  165,  35,   0,   0,   W,   0,   X, 285,  14,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090218,   , BEST,   0, 169N, 1640E,  35, 1005, XX,  34, NEQ,   35,   10,   10,   20, 1008,  165,  35,   0,   0,   W,   0,   X, 285,  13,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090300,   , BEST,   0, 170N, 1627E,  35, 1005, XX,  34, NEQ,   90,   50,    0,    0, 1009,  165,  35,   0,   0,   W,   0,   X, 280,  12,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090306,   , BEST,   0, 169N, 1614E,  40, 1003, XX,  34, NEQ,   70,   50,   50,   65, 1009,  165,  25,   0,   0,   W,   0,   X, 275,  11,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090312,   , BEST,   0, 169N, 1605E,  35, 1004, XX,  34, NEQ,   70,   55,   25,   40, 1009,  165,  25,   0,   0,   W,   0,   X, 270,  11,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090318,   , BEST,   0, 170N, 1600E,  35, 1005, XX,  34, NEQ,   70,   55,   25,   40, 1009,  165,  25,   0,   0,   W,   0,   X, 270,   9,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090400,   , BEST,   0, 178N, 1594E,  35, 1003, XX,  34, NEQ,   70,   55,   25,   40, 1007,  165,  25,   0,   0,   W,   0,   X, 295,   7,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090406,   , BEST,   0, 182N, 1584E,  35, 1003, XX,  34, NEQ,   60,    0,    0,    0, 1007,  180,  25,   0,   0,   W,   0,   X, 305,   8,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090412,   , BEST,   0, 182N, 1574E,  35, 1002, XX,  34, NEQ,   85,   60,    0,   60, 1007,  180,  25,   0,   0,   W,   0,   X, 285,   8,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090418,   , BEST,   0, 185N, 1567E,  35, 1002, XX,  34, NEQ,   85,   50,    0,   45, 1007,  180,  25,   0,   0,   W,   0,   X, 285,   9,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090500,   , BEST,   0, 189N, 1563E,  35, 1002, XX,  34, NEQ,  150,  105,    0,   35, 1006,  180,  30,   0,   0,   W,   0,   X, 290,   7,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090506,   , BEST,   0, 201N, 1552E,  35, 1000, XX,  34, NEQ,  130,   70,    0,   95, 1006,  165,  30,   0,   0,   W,   0,   X, 315,   9,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090512,   , BEST,   0, 208N, 1540E,  35, 1001, XX,  34, NEQ,  100,  135,    0,   75, 1007,  135,  30,   0,   0,   W,   0,   X, 310,  11,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090518,   , BEST,   0, 214N, 1531E,  40,  996, XX,  34, NEQ,   90,   75,    0,  105, 1007,  135,  30,   0,   0,   W,   0,   X, 310,  11,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090600,   , BEST,   0, 227N, 1520E,  45,  993, XX,  34, NEQ,   90,   95,    0,  120, 1007,  140,  50,   0,   0,   W,   0,   X, 310,  13,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090606,   , BEST,   0, 238N, 1500E,  45,  996, XX,  34, NEQ,   80,   65,   40,   80, 1005,  140,  50,   0,   0,   W,   0,   X, 310,  16,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090612,   , BEST,   0, 247N, 1481E,  55,  991, XX,  34, NEQ,  110,  100,   60,   85, 1007,  140,  40,   0,   0,   W,   0,   X, 305,  19,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090618,   , BEST,   0, 256N, 1464E,  65,  983, XX,  34, NEQ,  120,  105,   60,   95, 1006,  150,  45,   0,   0,   W,   0,   X, 300,  19,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090700,   , BEST,   0, 267N, 1449E,  75,  976, XX,  34, NEQ,  130,  105,   60,  105, 1007,  140,   5,   0,   0,   W,   0,   X, 305,  18,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090706,   , BEST,   0, 279N, 1432E,  85,  967, XX,  34, NEQ,  125,   95,   60,  100, 1006,  145,   5,   0,   0,   W,   0,   X, 305,  18,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090712,   , BEST,   0, 289N, 1418E, 105,  952, XX,  34, NEQ,  120,   95,   55,   75, 1006,  150,   5,   0,   0,   W,   0,   X, 310,  18,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090718,   , BEST,   0, 299N, 1408E, 115,  942, XX,  34, NEQ,  120,  100,   60,   95, 1009,  165,   5,   0,   0,   W,   0,   X, 315,  16,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090800,   , BEST,   0, 311N, 1398E, 115,  942, XX,  34, NEQ,  120,  115,   70,   95, 1008,  160,   5,   0,   0,   W,   0,   X, 320,  15,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090806,   , BEST,   0, 330N, 1390E, 110,  945, XX,  34, NEQ,  145,  145,  120,  130, 1008,  160,  12,   0,   0,   W,   0,   X, 330,  16,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090812,   , BEST,   0, 340N, 1391E, 100,  952, XX,  34, NEQ,  140,  140,  115,  120, 1008,  160,   5,   0,   0,   W,   0,   X, 345,  14,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090818,   , BEST,   0, 353N, 1396E,  90,  958, XX,  34, NEQ,  105,   90,  115,   65, 1007,  150,   5,   0,   0,   W,   0,   X,    ,  13,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090900,   , BEST,   0, 363N, 1410E,  75,  982, XX,  34, NEQ,   90,   75,   85,   60, 1009,  170,   5,   0,   0,   W,   0,   X,  25,  12,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
WP, 14, 2019090906,   , BEST,   0, 373N, 1425E,  65,  980, XX,  34, NEQ,   90,   85,   70,   60, 1009,  170,  15,   0,   0,   W,   0,   X,  40,  14,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142019, JTWC, NCEP_TCVITALS, 
