WP, 15, 2019090200,   , BEST,   0, 154N, 1258E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  140,  70,   0,   0,   W,   0,   X, 325,  16,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090206,   , BEST,   0, 168N, 1251E,  35, 1000, XX,  34, NEQ,  115,  100,    0,    0, 1005,  155,  60,   0,   0,   W,   0,   X, 330,  16,   LINGLING, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090212,   , BEST,   0, 179N, 1245E,  35, 1003, XX,  34, NEQ,   85,   70,    0,   65, 1007,  155,  60,   0,   0,   W,   0,   X, 335,  14,   LINGLING, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090218,   , BEST,   0, 190N, 1242E,  45,  998, XX,  34, NEQ,   90,   65,   45,   60, 1006,  190,  35,   0,   0,   W,   0,   X, 335,  11,   LINGLING, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090300,   , BEST,   0, 199N, 1239E,  50,  995, XX,  34, NEQ,  110,  100,   85,   85, 1007,  190,  30,   0,   0,   W,   0,   X, 340,  11,   LINGLING, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090306,   , BEST,   0, 209N, 1240E,  60,  986, XX,  34, NEQ,  115,  105,   75,   75, 1005,  180,  20,   0,   0,   W,   0,   X, 350,  10,   LINGLING, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090312,   , BEST,   0, 214N, 1242E,  65,  982, XX,  34, NEQ,  120,  120,   95,   80, 1005,  180,  15,   0,   0,   W,   0,   X,    ,   8,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090318,   , BEST,   0, 219N, 1246E,  65,  983, XX,  34, NEQ,  110,  120,   80,   60, 1006,  180,  15,   0,   0,   W,   0,   X,  15,   7,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090400,   , BEST,   0, 221N, 1246E,  75,  974, XX,  34, NEQ,  115,  130,  105,   85, 1006,  180,  15,   0,   0,   W,   0,   X,  20,   5,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090406,   , BEST,   0, 225N, 1251E,  75,  973, XX,  34, NEQ,  120,  110,   90,   55, 1004,  190,   5,   0,   0,   W,   0,   X,  35,   5,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
WP, 15, 2019090412,   , BEST,   0, 230N, 1254E,  80,  968, XX,  34, NEQ,  130,  115,  100,   65, 1004,  190,  12,   0,   0,   W,   0,   X,  40,   5,   LINGLING, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152019, JTWC, NCEP_TCVITALS, 
