WP, 19, 2019092706,   , BEST,   0, 141N, 1370E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  40,   0,   0,   W,   0,   X, 280,  22,   NINETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092712,   , BEST,   0, 144N, 1355E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  35,   0,   0,   W,   0,   X, 280,  20,   NINETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092718,   , BEST,   0, 149N, 1345E,  35, 1005, XX,  34, NEQ,   45,   40,   35,    0, 1008,  170,  35,   0,   0,   W,   0,   X, 285,  15,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092800,   , BEST,   0, 157N, 1323E,  40, 1004, XX,  34, NEQ,   60,   60,   40,   40, 1009,  170,  35,   0,   0,   W,   0,   X, 290,  16,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092806,   , BEST,   0, 173N, 1305E,  45, 1001, XX,  34, NEQ,  155,   95,   60,   60, 1009,  200,  70,   0,   0,   W,   0,   X, 300,  20,      MITAG, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092812,   , BEST,   0, 178N, 1291E,  50,  998, XX,  34, NEQ,  100,  120,  125,   75, 1009,  200,  70,   0,   0,   W,   0,   X, 300,  19,      MITAG, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092818,   , BEST,   0, 180N, 1275E,  50,  995, XX,  34, NEQ,  125,  130,  105,  105, 1007,  185,  50,   0,   0,   W,   0,   X, 295,  16,      MITAG, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092900,   , BEST,   0, 186N, 1265E,  55,  993, XX,  34, NEQ,  130,  125,   95,  120, 1008,  185,  50,   0,   0,   W,   0,   X, 295,  14,      MITAG, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092906,   , BEST,   0, 193N, 1256E,  55,  992, XX,  34, NEQ,  145,  125,  100,  120, 1008,  200,  50,   0,   0,   W,   0,   X, 295,  12,      MITAG, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092912,   , BEST,   0, 202N, 1247E,  65,  987, XX,  34, NEQ,  145,  125,  100,  120, 1009,  200,  15,   0,   0,   W,   0,   X, 310,  12,      MITAG, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019092918,   , BEST,   0, 211N, 1237E,  65,  983, XX,  34, NEQ,  155,  140,  105,  150, 1006,  205,  30,   0,   0,   W,   0,   X, 315,  12,      MITAG, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
WP, 19, 2019093000,   , BEST,   0, 217N, 1229E,  65,  983, XX,  34, NEQ,  160,  130,  110,  145, 1007,  210,  30,   0,   0,   W,   0,   X, 315,  12,      MITAG, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192019, JTWC, NCEP_TCVITALS, 
