WP, 22, 2018081512,   , BEST,   0, 126N, 1445E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  305,  40,   0,   0,   W,   0,   X, 320,   7,  TWENTY-TW, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081518,   , BEST,   0, 137N, 1439E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1002,  200,  40,   0,   0,   W,   0,   X, 330,   8,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081600,   , BEST,   0, 152N, 1430E,  35,  998, XX,  34, NEQ,   85,   60,   20,   35, 1002,  185,  60,   0,   0,   W,   0,   X, 330,  12,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081606,   , BEST,   0, 171N, 1418E,  40,  996, XX,  34, NEQ,  115,  100,   70,   90, 1002,  210,  50,   0,   0,   W,   0,   X, 330,  17,     SOULIK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081612,   , BEST,   0, 185N, 1418E,  55,  989, XX,  34, NEQ,   80,   85,   55,   55, 1002,  210,  40,   0,   0,   W,   0,   X, 335,  17,     SOULIK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081618,   , BEST,   0, 202N, 1415E,  60,  984, XX,  34, NEQ,  120,  145,   75,   70, 1001,  200,  40,   0,   0,   W,   0,   X, 345,  17,     SOULIK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081700,   , BEST,   0, 215N, 1409E,  65,  979, XX,  34, NEQ,  145,  145,   70,   85, 1001,  200,  30,   0,   0,   W,   0,   X, 345,  16,     SOULIK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081706,   , BEST,   0, 232N, 1403E,  75,  971, XX,  34, NEQ,  145,  145,   90,  115, 1001,  200,  25,   0,   0,   W,   0,   X, 345,  16,     SOULIK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081712,   , BEST,   0, 237N, 1401E,  80,  967, XX,  34, NEQ,  125,  115,   85,  100, 1001,  200,  15,   0,   0,   W,   0,   X, 340,  12,     SOULIK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081718,   , BEST,   0, 242N, 1400E,  85,  962, XX,  34, NEQ,  130,  120,   90,  105, 1002,  215,  15,   0,   0,   W,   0,   X, 340,   9,     SOULIK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
WP, 22, 2018081800,   , BEST,   0, 246N, 1400E,  90,  957, XX,  34, NEQ,  100,  100,   90,   85, 1002,  215,  15,   0,   0,   W,   0,   X, 350,   5,     SOULIK, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222018, JTWC, NCEP_TCVITALS, 
