WP, 22, 2019101900,   , BEST,   0, 103N, 1567E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1012,  160,  35,   0,   0,   W,   0,   X, 285,  19,  TWENTY-TW, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019101906,   , BEST,   0, 108N, 1552E,  35, 1003, XX,  34, NEQ,   60,   45,   45,   60, 1009,   90,  30,   0,   0,   W,   0,   X, 290,  17,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019101912,   , BEST,   0, 110N, 1537E,  45, 1002, XX,  34, NEQ,   50,   50,   20,   30, 1009,  160,  15,   0,   0,   W,   0,   X, 285,  15,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019101918,   , BEST,   0, 114N, 1524E,  50,  999, XX,  34, NEQ,   40,   65,   75,  105, 1010,  145,  25,   0,   0,   W,   0,   X, 285,  15,     BUALOI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019102000,   , BEST,   0, 116N, 1513E,  60,  995, XX,  34, NEQ,   65,   50,   40,   80, 1008,  155,  30,   0,   0,   W,   0,   X, 285,  13,     BUALOI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019102006,   , BEST,   0, 122N, 1504E,  65,  988, XX,  34, NEQ,   80,   60,   65,   95, 1008,  155,  15,   0,   0,   W,   0,   X, 290,  11,     BUALOI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019102012,   , BEST,   0, 127N, 1498E,  70,  984, XX,  34, NEQ,   95,   70,   50,  115, 1008,  155,  15,   0,   0,   W,   0,   X, 300,  10,     BUALOI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019102018,   , BEST,   0, 133N, 1490E,  75,  981, XX,  34, NEQ,  105,   75,   50,  115, 1008,  160,  12,   0,   0,   W,   0,   X, 305,   9,     BUALOI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019102100,   , BEST,   0, 141N, 1482E,  90,  971, XX,  34, NEQ,  105,   75,   45,  115, 1008,  160,   5,   0,   0,   W,   0,   X, 310,  10,     BUALOI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019102106,   , BEST,   0, 147N, 1476E,  95,  966, XX,  34, NEQ,  130,   85,   65,   85, 1008,  160,  12,   0,   0,   W,   0,   X, 315,  10,     BUALOI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
WP, 22, 2019102112,   , BEST,   0, 154N, 1468E, 105,  958, XX,  34, NEQ,  105,   75,   55,   65, 1008,  160,  12,   0,   0,   W,   0,   X, 315,  10,     BUALOI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222019, JTWC, NCEP_TCVITALS, 
