WP, 23, 2016100812,   , BEST,   0, 200N, 1543E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  50,   0,   0,   W,   0,   X, 285,  15,     SONGDA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016100818,   , BEST,   0, 207N, 1526E,  35, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  40,   0,   0,   W,   0,   X, 290,  16,     SONGDA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016100900,   , BEST,   0, 211N, 1511E,  45, 1001, XX,  34, NEQ,   40,   35,   20,   35, 1008,  160,  35,   0,   0,   W,   0,   X, 290,  16,     SONGDA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016100906,   , BEST,   0, 222N, 1497E,  45,  986, XX,  34, NEQ,   40,   35,   20,   35, 1008,  155,  35,   0,   0,   W,   0,   X, 300,  16,     SONGDA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016100912,   , BEST,   0, 230N, 1483E,  50,  985, XX,  34, NEQ,   55,   60,   40,   40, 1009,  165,  30,   0,   0,   W,   0,   X, 300,  15,     SONGDA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016100918,   , BEST,   0, 240N, 1473E,  55,  994, XX,  34, NEQ,  105,   70,   40,   40, 1009,  165,  25,   0,   0,   W,   0,   X, 310,  15,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101000,   , BEST,   0, 247N, 1464E,  65,  986, XX,  34, NEQ,   95,   75,   50,   80, 1009,  175,  15,   0,   0,   W,   0,   X, 310,  13,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101006,   , BEST,   0, 255N, 1459E,  90,  956, XX,  34, NEQ,   90,   80,   65,   65, 1008,  165,  10,   0,   0,   W,   0,   X, 320,  11,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101012,   , BEST,   0, 264N, 1459E, 105,  944, XX,  34, NEQ,   90,   80,   65,   65, 1009,  180,  10,   0,   0,   W,   0,   X, 335,   9,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101018,   , BEST,   0, 272N, 1459E, 100,  957, XX,  34, NEQ,   90,   80,   65,   65, 1009,  180,   6,   0,   0,   W,   0,   X, 350,   9,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101100,   , BEST,   0, 278N, 1460E, 100,  957, XX,  34, NEQ,   90,   80,   65,   65, 1009,  180,   6,   0,   0,   W,   0,   X,    ,   8,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101106,   , BEST,   0, 286N, 1467E,  90,  965, XX,  34, NEQ,   90,   80,   65,   65, 1010,  220,  10,   0,   0,   W,   0,   X,  20,   8,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101112,   , BEST,   0, 293N, 1476E, 100,  948, XX,  34, NEQ,   90,   80,   65,   65, 1010,  220,  15,   0,   0,   W,   0,   X,  35,   9,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101118,   , BEST,   0, 303N, 1490E, 130,  926, XX,  34, NEQ,  135,  155,  130,  100, 1007,  220,  12,   0,   0,   W,   0,   X,  45,  12,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101200,   , BEST,   0, 312N, 1510E, 120,  936, XX,  34, NEQ,  135,  155,  130,  100, 1007,  220,  15,   0,   0,   W,   0,   X,  55,  15,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101206,   , BEST,   0, 325N, 1538E, 105,  927, XX,  34, NEQ,  135,  155,  130,  100, 1007,  220,  15,   0,   0,   W,   0,   X,  55,  21,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101212,   , BEST,   0, 341N, 1571E,  90,  957, XX,  34, NEQ,  135,  155,  130,  100, 1007,  220,  17,   0,   0,   W,   0,   X,  60,  26,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
WP, 23, 2016101218,   , BEST,   0, 360N, 1612E,  75,  971, XX,  34, NEQ,  130,  180,  175,  125, 1006,  220,  17,   0,   0,   W,   0,   X,  60,  32,     SONGDA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232016, JTWC, NCEP_TCVITALS, 
