WP, 23, 2019102918,   , BEST,   0, 126N, 1127E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  35,   0,   0,   W,   0,   X, 290,  12,  TWENTY-TH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019103000,   , BEST,   0, 132N, 1117E,  35,  999, XX,  34, NEQ,  140,   40,   70,  125, 1007,  220, 140,   0,   0,   W,   0,   X, 290,  12,      MATMO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019103006,   , BEST,   0, 132N, 1110E,  40,  998, XX,  34, NEQ,  130,   85,  100,  140, 1006,  200,  35,   0,   0,   W,   0,   X, 290,  11,      MATMO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019103012,   , BEST,   0, 135N, 1101E,  50,  993, XX,  34, NEQ,  130,   85,  100,  140, 1006,  200,  35,   0,   0,   W,   0,   X, 285,   9,      MATMO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019103018,   , BEST,   0, 136N, 1088E,  45,  997, XX,  34, NEQ,  140,   60,   30,   75, 1006,  170,  35,   0,   0,   W,   0,   X, 280,  10,      MATMO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019103100,   , BEST,   0, 135N, 1070E,  35, 1002, XX,  34, NEQ,   70,   60,   40,   65, 1006,  170,  35,   0,   0,   W,   0,   X, 275,  13,      MATMO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019110412,   , BEST,   0, 141N, 0924E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  140,  40,   0,   0,   W,   0,   X, 290,   9,      MATMO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019110418,   , BEST,   0, 132N, 0919E,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1010,  255,  40,   0,   0,   W,   0,   X, 270,   7,      MATMO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019110500,   , BEST,   0, 132N, 0910E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  270,  40,   0,   0,   W,   0,   X, 265,   8,      MATMO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019110512,   , BEST,   0, 134N, 0900E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  270,  30,   0,   0,   W,   0,   X, 275,   6,      MATMO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019110518,   , BEST,   0, 130N, 0897E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1008,  270,  25,   0,   0,   W,   0,   X, 260,   4,      MATMO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019110600,   , BEST,   0, 130N, 0893E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1008,  270,  25,   0,   0,   W,   0,   X, 270,   4,      MATMO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019110606,   , BEST,   0, 134N, 0898E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  250,  35,   0,   0,   W,   0,   X, 335,   1,      MATMO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
WP, 23, 2019110612,   , BEST,   0, 135N, 0899E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1005,  215,  35,   0,   0,   W,   0,   X,  20,   2,      MATMO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232019, JTWC, NCEP_TCVITALS, 
