WP, 25, 2018082700,   , BEST,   0, 131N, 1593E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,  
WP, 25, 2018082706,   , BEST,   0, 135N, 1591E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  135,  40,   0,   0,   W,   0,    ,   0,   0, TWENTYFIVE, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpF42018 to wp252018,                                                                                                                                                                                       
WP, 25, 2018082712,   , BEST,   0, 141N, 1586E,  30, 1002, TD,   0,    ,    0,    0,    0,    0, 1009,  145,  35,   0,   0,   W,   0,    ,   0,   0, TWENTYFIVE, S,  
WP, 25, 2018082718,   , BEST,   0, 147N, 1579E,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1009,  120,  30,   0,   0,   W,   0,    ,   0,   0, TWENTYFIVE, S,  
WP, 25, 2018082800,   , BEST,   0, 152N, 1571E,  35, 1001, TS,  34, NEQ,   80,   55,   45,   60, 1008,  125,  30,   0,   0,   W,   0,    ,   0,   0, TWENTYFIVE, S,  
WP, 25, 2018082806,   , BEST,   0, 159N, 1562E,  45,  989, TS,  34, NEQ,   80,   55,   45,   60, 1009,  125,  30,   0,   0,   W,   0,    ,   0,   0,       JEBI, S,  
WP, 25, 2018082812,   , BEST,   0, 164N, 1553E,  50,  985, TS,  34, NEQ,   85,   60,   45,   60, 1010,  140,  30,   0,   0,   W,   0,    ,   0,   0,       JEBI, S,  
WP, 25, 2018082812,   , BEST,   0, 164N, 1553E,  50,  985, TS,  50, NEQ,   39,   23,    0,   23, 1010,  140,  30,   0,   0,   W,   0,    ,   0,   0,       JEBI, S,  
WP, 25, 2018082818,   , BEST,   0, 167N, 1543E,  55,  982, TS,  34, NEQ,  105,   75,   60,   90, 1010,  155,  30,  65,   0,   W,   0,    ,   0,   0,       JEBI, S,  
WP, 25, 2018082818,   , BEST,   0, 167N, 1543E,  55,  982, TS,  50, NEQ,   52,   33,   23,   42, 1010,  155,  30,  65,   0,   W,   0,    ,   0,   0,       JEBI, S,  
WP, 25, 2018082900,   , BEST,   0, 169N, 1534E,  60,  978, TS,  34, NEQ,  110,   90,   60,  100, 1008,  215,  20,   0,   0,   W,   0,    ,   0,   0,       JEBI, S,  
WP, 25, 2018082900,   , BEST,   0, 169N, 1534E,  60,  978, TS,  50, NEQ,   55,   43,   24,   49, 1008,  215,  20,   0,   0,   W,   0,    ,   0,   0,       JEBI, S,  
WP, 25, 2018082906,   , BEST,   0, 171N, 1524E,  70,  970, TY,  34, NEQ,  120,   90,   65,   95, 1007,  150,  20,   0,   0,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018082906,   , BEST,   0, 171N, 1524E,  70,  970, TY,  50, NEQ,   62,   43,   27,   46, 1007,  150,  20,   0,   0,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018082906,   , BEST,   0, 171N, 1524E,  70,  970, TY,  64, NEQ,   32,   22,   13,   24, 1007,  150,  20,   0,   0,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018082912,   , BEST,   0, 173N, 1513E,  80,  963, TY,  34, NEQ,  110,   75,   55,   85, 1008,  155,  20,   0,   0,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018082912,   , BEST,   0, 173N, 1513E,  80,  963, TY,  50, NEQ,   56,   34,   22,   41, 1008,  155,  20,   0,   0,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018082912,   , BEST,   0, 173N, 1513E,  80,  963, TY,  64, NEQ,   29,   17,   10,   21, 1008,  155,  20,   0,   0,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018082918,   , BEST,   0, 174N, 1503E,  90,  969, TY,  34, NEQ,  135,   70,   45,   85, 1007,  170,  12,   0,  15,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018082918,   , BEST,   0, 174N, 1503E,  90,  969, TY,  50, NEQ,   73,   32,   16,   41, 1007,  170,  12,   0,  15,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018082918,   , BEST,   0, 174N, 1503E,  90,  969, TY,  64, NEQ,   39,   16,    0,   21, 1007,  170,  12,   0,  15,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018083000,   , BEST,   0, 176N, 1492E, 100,  948, TY,  34, NEQ,  135,   75,   55,   95, 1007,  170,  12,   0,  15,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018083000,   , BEST,   0, 176N, 1492E, 100,  948, TY,  50, NEQ,   73,   35,   23,   48, 1007,  170,  12,   0,  15,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018083000,   , BEST,   0, 176N, 1492E, 100,  948, TY,  64, NEQ,   39,   18,   11,   25, 1007,  170,  12,   0,  15,   W,   0,    ,   0,   0,       JEBI, D,  
WP, 25, 2018083006,   , BEST,   0, 177N, 1481E, 110,  941, TY,  34, NEQ,  135,   90,   80,  115, 1007,  170,   5,   0,  10,   W,   0,    ,   0,   0,       JEBI, D,  
