WP, 27, 2017102000,   , BEST,   0, 113N, 1518E,  35, 1005, XX,  34, NEQ,   55,   30,   65,   80, 1009,  150,  20,   0,   0,   W,   0,   X, 140,   9,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102006,   , BEST,   0, 117N, 1517E,  35, 1006, XX,  34, NEQ,    0,    0,   45,    0, 1009,  110,  20,   0,   0,   W,   0,   X, 165,   2,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102012,   , BEST,   0, 119N, 1514E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1009,  110,  20,   0,   0,   W,   0,   X, 225,   1,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102018,   , BEST,   0, 121N, 1499E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  20,   0,   0,   W,   0,   X, 285,   7,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102100,   , BEST,   0, 121N, 1496E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  170,  30,   0,   0,   W,   0,   X, 285,   6,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102106,   , BEST,   0, 121N, 1489E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   W,   0,   X, 275,   6,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102112,   , BEST,   0, 118N, 1484E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1008,  170,  45,   0,   0,   W,   0,   X, 260,   6,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102118,   , BEST,   0, 113N, 1476E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  170,  45,   0,   0,   W,   0,   X, 240,   7,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102200,   , BEST,   0, 103N, 1475E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  170,  45,   0,   0,   W,   0,   X, 215,   7,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102206,   , BEST,   0, 090N, 1482E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  170,  45,   0,   0,   W,   0,   X, 180,   9,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
WP, 27, 2017102212,   , BEST,   0, 091N, 1486E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  170,  45,   0,   0,   W,   0,   X, 160,   8,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP272017, JTWC, NCEP_TCVITALS, 
