WP, 29, 2019112518,   , BEST,   0, 092N, 1510E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  165,  55,   0,   0,   W,   0,   X, 280,  17,  TWENTY-NI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112606,   , BEST,   0, 110N, 1473E,  35,  996, XX,  34, NEQ,  240,  145,   60,  150, 1003,  250,  50,   0,   0,   W,   0,   X, 290,  18,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112612,   , BEST,   0, 113N, 1452E,  40,  996, XX,  34, NEQ,  240,   60,   60,  190, 1004,  210,  35,   0,   0,   W,   0,   X, 285,  20,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112618,   , BEST,   0, 115N, 1435E,  50,  990, XX,  34, NEQ,  245,   15,   15,  160, 1001,  200,  25,   0,   0,   W,   0,   X, 285,  19,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112700,   , BEST,   0, 117N, 1423E,  55,  986, XX,  34, NEQ,  210,   90,   65,  140, 1003,  190,  30,   0,   0,   W,   0,   X, 280,  17,    KAMMURI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112706,   , BEST,   0, 115N, 1409E,  55,  988, XX,  34, NEQ,  210,   90,   65,  135, 1003,  190,  25,   0,   0,   W,   0,   X, 275,  14,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112712,   , BEST,   0, 113N, 1403E,  60,  983, XX,  34, NEQ,  215,   80,   80,  210, 1003,  190,  25,   0,   0,   W,   0,   X, 265,  10,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112718,   , BEST,   0, 123N, 1394E,  65,  978, XX,  34, NEQ,   70,   60,   95,  130, 1003,  170,  25,   0,   0,   W,   0,   X, 280,  10,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112800,   , BEST,   0, 117N, 1389E,  70,  975, XX,  34, NEQ,   85,   70,  105,  130, 1004,  180,  25,   0,   0,   W,   0,   X, 275,   7,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112806,   , BEST,   0, 128N, 1385E,  75,  976, XX,  34, NEQ,   85,   70,  105,  135, 1004,  200,  25,   0,   0,   W,   0,   X, 305,   7,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112812,   , BEST,   0, 136N, 1384E,  75,  976, XX,  34, NEQ,   85,   70,  105,  135, 1004,  200,  15,   0,   0,   W,   0,   X, 335,   8,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112818,   , BEST,   0, 143N, 1385E,  75,  974, XX,  34, NEQ,  110,  105,  115,  130, 1002,  220,  25,   0,   0,   W,   0,   X, 350,   9,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112900,   , BEST,   0, 146N, 1382E,  70,  979, XX,  34, NEQ,  105,  115,  105,  125, 1004,  200,  25,   0,   0,   W,   0,   X, 350,   7,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112906,   , BEST,   0, 146N, 1376E,  75,  974, XX,  34, NEQ,  105,  115,  105,  125, 1004,  200,  20,   0,   0,   W,   0,   X, 315,   5,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112912,   , BEST,   0, 141N, 1379E,  75,  971, XX,  34, NEQ,  145,  125,  160,  220, 1004,  200,  20,   0,   0,   W,   0,   X, 250,   2,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019112918,   , BEST,   0, 141N, 1373E,  75,  973, XX,  34, NEQ,  145,  125,  160,  220, 1005,  350,  20,   0,   0,   W,   0,   X, 250,   3,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019113000,   , BEST,   0, 141N, 1365E,  75,  972, XX,  34, NEQ,  165,  125,  140,  235, 1003,  245,  20,   0,   0,   W,   0,   X, 260,   5,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019113006,   , BEST,   0, 136N, 1352E,  75,  973, XX,  34, NEQ,  135,   95,  140,  200, 1002,  235,  30,   0,   0,   W,   0,   X, 260,   9,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019113012,   , BEST,   0, 135N, 1345E,  70,  976, XX,  34, NEQ,  160,   95,  125,  165, 1002,  235,  30,   0,   0,   W,   0,   X, 255,   9,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019113018,   , BEST,   0, 131N, 1327E,  65,  980, XX,  34, NEQ,  155,   90,  105,  165, 1002,  205,  30,   0,   0,   W,   0,   X, 255,  12,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120100,   , BEST,   0, 133N, 1314E,  65,  980, XX,  34, NEQ,  200,  100,  105,  185, 1002,  215,  30,   0,   0,   W,   0,   X, 265,  12,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120106,   , BEST,   0, 130N, 1297E,  65,  983, XX,  34, NEQ,  140,   80,   85,  125, 1003,  220,  25,   0,   0,   W,   0,   X, 270,  14,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120112,   , BEST,   0, 130N, 1288E,  70,  980, XX,  34, NEQ,  140,   80,   85,  120, 1004,  220,  20,   0,   0,   W,   0,   X, 270,  13,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120118,   , BEST,   0, 129N, 1278E,  80,  972, XX,  34, NEQ,  150,  110,  105,  145, 1004,  220,  20,   0,   0,   W,   0,   X, 265,  11,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120200,   , BEST,   0, 128N, 1265E,  90,  964, XX,  34, NEQ,  155,  135,  125,  150, 1004,  220,  12,   0,   0,   W,   0,   X, 265,  10,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120206,   , BEST,   0, 130N, 1256E, 105,  951, XX,  34, NEQ,  160,  145,  130,  160, 1004,  220,  12,   0,   0,   W,   0,   X, 270,  10,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120212,   , BEST,   0, 130N, 1247E, 115,  943, XX,  34, NEQ,  150,  150,  130,  255, 1006,  200,  26,   0,   0,   W,   0,   X, 270,  10,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120218,   , BEST,   0, 131N, 1234E, 105,  953, XX,  34, NEQ,  150,  150,  130,  230, 1006,  200,  17,   0,   0,   W,   0,   X, 275,  10,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120300,   , BEST,   0, 133N, 1222E, 100,  957, XX,  34, NEQ,  150,  150,  130,  230, 1006,  200,  15,   0,   0,   W,   0,   X, 275,  11,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120306,   , BEST,   0, 132N, 1208E,  85,  969, XX,  34, NEQ,  160,  140,  120,  235, 1005,  180,  20,   0,   0,   W,   0,   X, 275,  13,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120312,   , BEST,   0, 132N, 1201E,  80,  974, XX,  34, NEQ,  165,   95,  100,  230, 1007,  170,  20,   0,   0,   W,   0,   X, 275,  11,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120318,   , BEST,   0, 138N, 1188E,  65,  985, XX,  34, NEQ,  165,   95,  100,  205, 1007,  170,  20,   0,   0,   W,   0,   X, 285,  12,    KAMMURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120400,   , BEST,   0, 143N, 1180E,  55,  992, XX,  34, NEQ,  165,   95,  100,  200, 1009,  170,  20,   0,   0,   W,   0,   X, 290,  11,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120406,   , BEST,   0, 142N, 1169E,  45,  996, XX,  34, NEQ,  145,   80,   75,  195, 1007,  155,  30,   0,   0,   W,   0,   X, 290,  11,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120412,   , BEST,   0, 144N, 1161E,  40, 1001, XX,  34, NEQ,  130,   75,   60,  170, 1009,  140,  30,   0,   0,   W,   0,   X, 285,  10,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120418,   , BEST,   0, 148N, 1153E,  35, 1000, XX,  34, NEQ,  320,   55,   70,  190, 1009,  140,  30,   0,   0,   W,   0,   X, 285,   9,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120500,   , BEST,   0, 142N, 1143E,  35, 1002, XX,  34, NEQ,  165,   50,   55,  185, 1009,  140,  30,   0,   0,   W,   0,   X, 270,   8,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120506,   , BEST,   0, 138N, 1137E,  35, 1002, XX,  34, NEQ,  165,   50,   70,  185, 1009,  140,  30,   0,   0,   W,   0,   X, 255,   8,    KAMMURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120512,   , BEST,   0, 130N, 1133E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1010,  110,  30,   0,   0,   W,   0,   X, 225,   9,    KAMMURI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120518,   , BEST,   0, 124N, 1134E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,   90,  30,   0,   0,   W,   0,   X, 200,   7,    KAMMURI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
WP, 29, 2019120600,   , BEST,   0, 109N, 1129E,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1010,   90,  30,   0,   0,   W,   0,   X, 195,  10,    KAMMURI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP292019, JTWC, NCEP_TCVITALS, 
